"station_id","observation_time","temp_c","dewpoint_c","wind_dir_degrees","wind_speed_kt","wind_gust_kt","visibility_statute_mi","altim_in_hg","sea_level_pressure_mb","wx_string","flight_category","three_hr_pressure_tendency_mb","maxT_c","minT_c","maxT24hr_c","minT24hr_c","precip_in","pcp3hr_in","pcp6hr_in","pcp24hr_in","snow_in","vert_vis_ft"
"KMSN","2019-03-09T00:53:00Z","-1.1","-4.4","120","3","","9.0","30.100393","1020.7","","VFR","","","","","","","","","","",""
"KMSN","2019-03-09T01:53:00Z","-2.8","-5.0","0","0","","7.0","30.100393","1020.8","","VFR","","","","","","","","","","",""
"KMSN","2019-03-09T02:53:00Z","-2.8","-5.0","0","0","","6.0","30.100393","1020.6","BR","VFR","0.1","","","","","","","","","",""
"KMSN","2019-03-09T03:53:00Z","-3.9","-5.6","0","0","","5.0","30.088583","1020.3","BR","MVFR","","","","","","","","","","",""
"KMSN","2019-03-09T04:53:00Z","-2.8","-5.0","130","3","","6.0","30.079725","1019.6","BR","VFR","","","","","","","","","","",""
"KMSN","2019-03-09T05:53:00Z","-2.8","-5.0","130","6","","6.0","30.070866","1019.4","BR","VFR","-0.9","1.7","-3.9","2.2","-11.7","","","","","",""
"KMSN","2019-03-09T06:53:00Z","-3.3","-5.6","140","4","","6.0","30.079725","1019.5","BR","VFR","","","","","","","","","","",""
"KMSN","2019-03-09T07:53:00Z","-2.8","-5.6","150","5","","7.0","30.079725","1019.7","","VFR","","","","","","","","","","",""
"KMSN","2019-03-09T08:53:00Z","-3.3","-5.6","130","7","","6.0","30.041338","1018.3","BR","VFR","-1.1","","","","","","","","","",""
"KMSN","2019-03-09T09:53:00Z","-2.8","-5.6","120","5","","7.0","30.02067","1017.5","","VFR","","","","","","","","","","",""
"KMSN","2019-03-09T10:53:00Z","-3.3","-5.0","120","9","","5.0","30.0","1017.0","BR","MVFR","","","","","","","","","","",""
"KMSN","2019-03-09T11:53:00Z","-3.3","-5.6","120","6","","7.0","29.991142","1016.7","","VFR","-1.5","-2.2","-3.3","","","","","","","3.0",""
