2017-09-15,Friday,37,NULL,37,Solo,Exp,Denny,HOV,Larch,Solo - Exp,Denny - HOV - Larch,NULL,NULL,NULL,NULL,NULL,17:26:19,17:38:02,17:43:08,17:59:34,NULL
2017-09-18,Monday,38,NULL,NULL,HOV,Standard,Aloha,Exp,204th,HOV - Standard,Aloha - Exp - 204th,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-09-19,Tuesday,38,47,45,Solo,Standard,Repub.,Standard,204th,Solo - Standard,Repub. - Standard - 204th,07:03:43,07:12:00,07:35:53,07:48:18,07:51:05,17:20:15,17:33:30,17:46:25,18:05:26,18:14:26
2017-09-20,Wednesday,38,48,47,HOV,Exp,Denny,Standard,Larch,HOV - Exp,Denny - Standard - Larch,07:09:32,07:18:04,07:40:55,07:56:09,07:59:55,17:18:45,17:31:49,17:46:11,18:10:06,NULL
2017-09-21,Thursday,38,51,50,Solo,Standard,Repub.,Exp,Larch,Solo - Standard,Repub. - Exp - Larch,07:26:35,07:35:14,07:58:03,08:13:42,08:16:16,17:06:36,17:20:26,17:26:35,17:43:03,17:54:58
2017-09-22,Friday,38,35,30,HOV,Exp,Aloha,HOV,204th,HOV - Exp,Aloha - HOV - 204th,07:25:55,07:34:42,07:46:12,07:52:00,07:55:43,17:36:49,17:45:26,17:50:08,17:58:08,NULL
2017-09-25,Monday,39,46,36,HOV,Standard,Repub.,Exp,204th,HOV - Standard,Repub. - Exp - 204th,06:56:57,07:05:32,07:24:28,07:38:35,07:41:54,17:01:01,17:07:44,17:13:24,17:27:26,17:37:45
2017-09-26,Tuesday,39,NULL,NULL,Solo,Exp,Aloha,Standard,Larch,Solo - Exp,Aloha - Standard - Larch,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-09-27,Wednesday,39,45,48,Solo,Exp,Denny,HOV,Larch,Solo - Exp,Denny - HOV - Larch,07:10:39,07:18:21,07:44:46,07:58:37,08:02:00,16:56:40,17:09:05,17:16:27,17:34:13,17:46:34
2017-09-28,Thursday,39,54,36,HOV,Standard,Denny,Exp,204th,HOV - Standard,Denny - Exp - 204th,08:14:03,08:24:37,08:46:41,09:11:17,09:16:15,18:30:33,18:37:34,18:45:13,19:00:28,19:08:00
2017-09-29,Friday,39,37,39,HOV,Exp,Aloha,HOV,Larch,HOV - Exp,Aloha - HOV - Larch,07:30:52,07:38:05,07:55:01,08:03:38,08:07:29,16:41:09,16:56:51,17:02:10,17:19:50,NULL
2017-10-02,Monday,40,28,25,Solo,Exp,Repub.,Standard,204th,Solo - Exp,Repub. - Standard - 204th,05:59:55,06:08:21,06:23:01,06:28:09,06:29:38,13:06:04,13:11:56,13:16:35,13:24:31,13:33:52
2017-10-03,Tuesday,40,27,50,Solo,Exp,Repub.,Exp,Larch,Solo - Exp,Repub. - Exp - Larch,06:02:22,06:10:54,06:25:45,06:31:07,06:33:30,16:00:54,16:05:56,16:19:36,16:40:21,NULL
2017-10-04,Wednesday,40,28,54,HOV,Standard,Aloha,Standard,204th,HOV - Standard,Aloha - Standard - 204th,06:03:08,06:10:27,06:21:36,06:27:28,06:29:13,15:51:39,16:01:23,16:15:12,16:47:07,16:58:08
2017-10-05,Thursday,40,33,50,Solo,Standard,Denny,HOV,Larch,Solo - Standard,Denny - HOV - Larch,06:05:52,06:12:38,06:25:10,06:30:43,06:32:31,15:15:07,15:29:48,15:36:32,15:52:53,16:03:10
2017-10-06,Friday,40,NULL,NULL,HOV,Exp,Repub.,Exp,204th,HOV - Exp,Repub. - Exp - 204th,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-10-09,Monday,41,49,42,HOV,Exp,Aloha,Standard,Larch,HOV - Exp,Aloha - Standard - Larch,07:13:52,07:23:05,07:42:39,07:52:51,07:57:24,17:07:38,17:20:46,17:30:51,NULL,NULL
2017-10-10,Tuesday,41,45,57,Solo,Standard,Denny,HOV,204th,Solo - Standard,Denny - HOV - 204th,07:03:33,07:15:23,NULL,NULL,NULL,16:43:57,16:54:14,17:07:49,17:26:18,NULL
2017-10-11,Wednesday,41,NULL,NULL,Solo,Standard,Aloha,Standard,Larch,Solo - Standard,Aloha - Standard - Larch,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-10-12,Thursday,41,54,55,HOV,Exp,Denny,HOV,204th,HOV - Exp,Denny - HOV - 204th,07:21:45,07:30:31,07:50:58,08:01:38,08:06:53,17:04:14,17:20:13,17:31:23,17:49:56,NULL
2017-10-13,Friday,41,40,NULL,HOV,Exp,Repub.,Exp,204th,HOV - Exp,Repub. - Exp - 204th,07:21:48,07:30:15,07:48:20,07:53:56,07:57:09,NULL,NULL,NULL,NULL,NULL
2017-10-16,Monday,42,44,38,Solo,Standard,Repub.,Standard,Larch,Solo - Standard,Repub. - Standard - Larch,07:03:26,07:11:21,07:36:45,07:51:40,07:55:44,16:54:00,16:58:45,17:07:42,17:24:40,NULL
2017-10-17,Tuesday,42,57,54,HOV,Exp,Aloha,Exp,204th,HOV - Exp,Aloha - Exp - 204th,07:29:20,07:39:05,08:04:38,08:19:30,08:24:29,17:05:49,17:15:26,17:24:29,17:43:09,17:56:15
2017-10-18,Wednesday,42,50,62,Solo,Standard,Denny,HOV,Larch,Solo - Standard,Denny - HOV - Larch,07:20:28,07:30:03,07:53:44,08:05:41,08:11:42,17:03:58,17:17:38,17:28:31,17:57:26,NULL
2017-10-19,Thursday,42,NULL,NULL,HOV,Standard,Repub.,HOV,204th,HOV - Standard,Repub. - HOV - 204th,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-10-20,Friday,42,43,46,Solo,Exp,Aloha,Standard,Larch,Solo - Exp,Aloha - Standard - Larch,07:39:51,07:48:11,08:03:13,08:10:27,08:13:58,17:11:56,17:22:26,NULL,NULL,NULL
2017-10-23,Monday,43,44,34,HOV,Exp,Denny,Exp,204th,HOV - Exp,Denny - Exp - 204th,07:10:12,07:19:20,07:40:38,07:49:24,07:51:23,17:06:48,17:18:42,17:24:08,NULL,NULL
