"1-4 min","1-4 min",2019-12-13 20:37:28
"4-8 min","1-4 min",2019-12-14 04:34:20
"4-8 min","3-7 min",2019-12-14 04:59:38
"4-8 min","1-4 min",2019-12-14 05:02:03
"5-9 min","1-4 min",2019-12-14 05:06:46
"4-8 min","1-4 min",2019-12-14 05:19:39
"5-9 min","1-4 min",2019-12-14 05:25:00
"5-9 min","2-6 min",2019-12-14 05:25:20
"4-8 min","1-4 min",2019-12-14 05:33:13
"14-18 min","2-6 min",2019-12-14 05:45:06
"12-16 min","3-7 min",2019-12-14 05:52:31
"16-20 min","2-6 min",2019-12-14 05:56:51
"18-22 min","3-7 min",2019-12-14 06:03:45
"17-21 min","3-7 min",2019-12-14 06:07:02
"15-19 min","3-7 min",2019-12-14 06:17:07
"18-22 min","3-7 min",2019-12-14 06:22:01
"14-18 min","2-6 min",2019-12-14 06:28:44
"17-21 min","2-6 min",2019-12-14 06:31:26
"11-15 min","1-4 min",2019-12-14 06:39:59
"7-11 min","1-4 min",2019-12-14 06:41:49
"4-8 min","1-4 min",2019-12-14 06:49:19
"3-7 min","1-4 min",2019-12-14 06:54:25
"1-4 min","1-4 min",2019-12-14 06:59:46
"1-5 min","1-4 min",2019-12-14 07:10:23
"3-7 min","1-4 min",2019-12-14 07:17:15
"1-4 min","1-4 min",2019-12-14 07:22:03
"3-7 min","1-4 min",2019-12-14 07:35:00
"5-9 min","1-4 min",2019-12-14 07:42:26
"6-10 min","1-4 min",2019-12-14 07:49:12
"4-8 min","1-4 min",2019-12-14 07:52:49
"1-5 min","1-4 min",2019-12-14 07:59:14
"1-4 min","1-4 min",2019-12-14 08:01:23
"3-7 min","1-4 min",2019-12-14 08:08:31
"2-6 min","1-4 min",2019-12-14 08:15:35
"3-7 min","1-4 min",2019-12-14 08:22:51
"1-4 min","1-4 min",2019-12-14 08:34:48
"3-7 min","1-4 min",2019-12-14 08:41:44
"1-4 min","1-4 min",2019-12-14 08:47:08
"3-7 min","1-4 min",2019-12-14 08:54:46
"1-4 min","1-4 min",2019-12-14 08:58:26
"2-6 min","1-4 min",2019-12-14 09:59:23
"1-4 min","1-4 min",2019-12-14 10:00:33
"3-7 min","1-4 min",2019-12-14 10:16:22
"2-6 min","1-4 min",2019-12-14 10:31:16
"3-7 min","1-4 min",2019-12-14 10:36:54
"4-8 min","1-4 min",2019-12-14 10:40:57
"5-9 min","2-6 min",2019-12-14 11:00:31
"5-9 min","1-4 min",2019-12-14 11:09:07
"4-8 min","1-4 min",2019-12-14 11:13:33
"5-9 min","2-6 min",2019-12-14 11:19:37
"6-10 min","3-7 min",2019-12-14 11:23:14
"6-10 min","2-6 min",2019-12-14 11:26:21
"4-8 min","1-4 min",2019-12-14 11:33:35
"3-7 min","2-6 min",2019-12-14 11:35:30
"4-8 min","1-4 min",2019-12-14 11:46:32
"12-16 min","1-4 min",2019-12-14 11:54:26
"13-17 min","1-4 min",2019-12-14 11:55:52
"5-9 min","1-4 min",2019-12-14 12:04:20
"11-15 min","1-4 min",2019-12-14 12:07:16
"4-8 min","2-6 min",2019-12-14 12:14:13
"5-9 min","1-4 min",2019-12-14 12:18:18
"4-8 min","1-4 min",2019-12-14 12:20:08
"5-9 min","1-4 min",2019-12-14 12:28:48
"4-8 min","1-4 min",2019-12-14 12:32:40
"5-9 min","1-4 min",2019-12-14 12:37:10
"6-10 min","1-4 min",2019-12-14 12:40:23
"3-7 min","1-4 min",2019-12-14 12:47:25
"4-8 min","1-4 min",2019-12-14 12:52:34
"5-9 min","1-4 min",2019-12-14 13:08:55
"3-7 min","1-4 min",2019-12-14 13:15:02
"4-8 min","1-4 min",2019-12-14 13:28:32
"5-9 min","1-4 min",2019-12-14 13:40:09
"10-14 min","1-4 min",2019-12-14 13:47:48
"12-16 min","1-4 min",2019-12-14 13:54:29
"5-9 min","1-4 min",2019-12-14 13:56:56
"4-8 min","1-4 min",2019-12-14 14:04:25
"5-9 min","1-4 min",2019-12-14 14:07:47
"12-16 min","2-6 min",2019-12-14 14:12:25
"14-18 min","3-7 min",2019-12-14 14:15:21
"16-20 min","1-4 min",2019-12-14 14:23:59
"14-18 min","2-6 min",2019-12-14 14:26:59
"10-14 min","1-4 min",2019-12-14 14:35:02
"14-18 min","1-4 min",2019-12-14 14:38:54
"6-10 min","1-4 min",2019-12-14 14:46:52
"11-15 min","1-4 min",2019-12-14 14:54:31
"12-16 min","1-4 min",2019-12-14 14:55:32
"5-9 min","1-4 min",2019-12-14 15:03:13
"4-8 min","1-4 min",2019-12-14 15:06:01
"3-7 min","1-4 min",2019-12-14 15:19:14
"2-6 min","1-4 min",2019-12-14 15:33:37
"4-8 min","1-4 min",2019-12-14 15:37:53
"3-7 min","1-4 min",2019-12-14 15:44:12
"4-8 min","1-4 min",2019-12-14 15:54:30
"1-4 min","1-4 min",2019-12-14 15:58:02
"3-7 min","1-4 min",2019-12-14 16:08:06
"1-4 min","3-7 min",2019-12-14 16:11:33
"3-7 min","1-4 min",2019-12-14 16:16:36
"3-7 min","2-6 min",2019-12-14 16:25:00
"3-7 min","1-5 min",2019-12-14 16:30:14
"1-4 min","1-4 min",2019-12-14 16:35:31
"2-6 min","1-4 min",2019-12-14 16:42:32
"1-4 min","1-4 min",2019-12-14 16:47:40
"3-7 min","1-4 min",2019-12-14 16:50:20
"1-5 min","1-4 min",2019-12-14 16:55:35
"1-4 min","1-4 min",2019-12-14 17:04:31
"1-5 min","1-4 min",2019-12-14 17:09:44
"1-4 min","1-4 min",2019-12-14 17:12:42
"3-7 min","1-4 min",2019-12-14 17:22:42
"1-4 min","1-4 min",2019-12-14 17:29:42
"unknown","unknown",2019-12-14 18:31:11
"1-4 min","1-4 min",2019-12-14 18:35:47
"1-4 min","unknown",2019-12-14 19:02:04
"4-8 min","1-4 min",2019-12-14 19:09:03
"1-4 min","1-4 min",2019-12-14 19:14:23
"3-7 min","1-4 min",2019-12-15 04:30:48
"13-17 min","1-4 min",2019-12-15 04:38:10
"15-19 min","1-4 min",2019-12-15 04:40:17
"12-16 min","1-5 min",2019-12-15 04:48:35
"12-16 min","1-4 min",2019-12-15 04:54:51
"12-16 min","3-7 min",2019-12-15 04:58:44
"12-16 min","2-6 min",2019-12-15 05:03:46
"5-9 min","1-4 min",2019-12-15 05:08:55
"4-8 min","1-4 min",2019-12-15 05:13:51
